Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
Random Forest,0.7792207792207793,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.8191666666666666
XGBoost,0.7597402597402597,0.673469387755102,0.6111111111111112,0.6407766990291263,0.8081481481481482
Deep Learning,0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.8175925925925925
