Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116
XGBoost,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9940476190476191
Deep Learning,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9957010582010583
